pEmin,pEmax,pKmin,pKmax,pE1,pE2,pE3,pK1,pK2,pK3,valX1,valX2,valX3
0,200,92,92,144.81970829387,66.5666387809702,6.009243554777,92,92,92,15.5984451419079,2328.56100246376,23.1581247794269
0,200,93,93,146.076011280912,67.3478515573552,6.31595797991402,93,93,93,15.4636069074547,2328.03050653084,23.1576836919906
0,200,94,94,147.332963285153,68.128367564231,6.62575195786641,94,94,94,15.3287373710132,2327.77001936559,23.1572208980977
0,200,95,95,148.590573353886,68.9082195166665,6.93859883978487,95,95,95,15.1938537318941,2327.77362809975,23.1567353794529
0,200,1,1,17.0242616257879,0,0,1,1,1,22.1080012201697,31741.3285123111,83048.4123696883
0,200,2,2,19.0442255609461,0,0,2,2,2,22.1076662698904,20043.7535379695,65105.2842499305
0,200,3,3,21.0047907156484,0,0,3,3,3,22.1072830885409,11266.8769479238,49857.5390328423
0,200,4,4,22.9139603190727,0,0,4,4,4,22.1068368643914,6010.20345449463,38435.3695301398
0,200,5,5,24.7781920208376,0,0,5,5,5,22.1063122836998,3455.1618659966,30324.5149191909
0,200,96,96,149.848840563461,69.6874375511917,7.25447235552127,96,96,96,15.0589736956168,2328.03441992793,23.1562261093043
0,200,97,97,151.107790162497,70.4660459745475,7.57334600580646,97,97,97,14.9241142518907,2328.54467086291,23.1556920205351
0,200,98,98,152.367396230528,71.2440661343121,7.89519325853639,98,98,98,14.7892932656626,2329.2961349078,23.1551320195468
0,200,99,99,153.627662033479,72.02151636293,8.21998868867801,99,99,99,14.6545311570119,2330.2802686862,23.1545448867728
0,200,100,100,154.888575495862,72.7984118715633,8.54770627721441,100,100,100,14.5198482113891,2331.48842862946,23.153929399125
0,200,101,101,156.15013101657,73.5747646047699,8.87831903207169,101,101,101,14.3852667149943,2332.91206492625,23.1532843835234
0,200,102,102,157.412318279059,74.350584029542,9.21179945984774,102,102,102,14.250809723244,2334.54286990881,23.1526085550073
0,200,103,103,158.675138126126,75.1258781283763,9.54812252991789,103,103,103,14.1165021840057,2336.37295100095,23.1519005363206
0,200,104,104,159.938550525739,75.900654220622,9.8872616498486,104,104,104,13.9823694497022,2338.39488071238,23.1511589404182
0,200,105,105,161.202575191347,76.674916710293,10.2291902681689,105,105,105,13.8484384168218,2340.60177186181,23.1503823713174
0,200,106,106,162.467171286186,77.4486703323034,10.5738828836304,106,106,106,13.7147377046698,2342.9873541835,23.1495693159087
0,200,107,107,163.73231976408,78.221919346867,10.9213129318745,107,107,107,13.5812978180886,2345.54599387268,23.1487182387184
0,200,108,108,164.998041766488,78.9946678988409,11.2714567973035,108,108,108,13.4481498995713,2348.2726866423,23.1478273824338
0,200,109,109,166.264295781053,79.766921640653,11.6242877053835,109,109,109,13.3153257950398,2351.16302720404,23.1468952228483
