beta,delta,c,est_pE1,est_pE2,est_pE3,est_pK1,est_pK2,est_pK3,sum_rss,convergence
1e-06,2,9,200,145.203366132528,16.6246974839382,103.84541360021,200,198.9715065607,2520.52258563072,0
1e-06,2,10,200,145.019164194923,16.8011723233024,103.562490724715,200,199.155066904088,2520.86791192554,0
1e-06,3,1,200,126.250132442021,0,100.501213336258,185.821125096701,200,2389.77103635717,0
1e-06,3,2,200,140.171308762653,2.71564720561948,100.935619796993,200,199.35863332372,2393.80645062977,0
1e-06,3,3,200,142.358138999925,6.02244286252388,101.507679026825,200,198.686580755248,2432.18392587961,0
1e-06,3,4,200,143.749908702105,8.80735950552406,102.163540909778,200,198.229874455059,2474.7571773415,0
1e-06,3,5,200,144.539251970884,11.0954750130533,102.804407400795,200,197.952093725832,2503.85577215049,0
1e-06,3,6,200,144.97090527391,13.0420857642237,103.344823484104,200,198.364166375787,2515.87231387236,0
1e-06,3,7,200,145.208409270535,14.4675689101996,103.730621963158,200,198.46101829922,2519.53971580766,0
1e-06,3,8,200,145.313763941497,15.4795889354692,103.939224913535,200,198.480664542652,2520.59508325765,0
1e-06,3,9,200,145.309968261568,16.1818004497465,103.97190610925,200,198.652823420465,2520.91053044793,0
1e-06,3,10,200,145.209482363454,16.62489488847,103.840583494827,200,198.971434954622,2521.00993190225,0
1e-06,4,1,200,136.935301465347,0,98.2355467161656,199.808567349816,200,2401.53445368607,0
1e-06,4,2,200,140.159599234939,0,98.9704828910052,200,200,2413.57911512364,0
1e-06,4,3,200,142.211009669648,2.71629191053372,99.9045315701726,200,199.358215315204,2459.04001081938,0
1e-06,4,4,200,143.450790109945,6.02298926457349,100.919078944864,200,198.686247468779,2496.97060470006,0
1e-06,4,5,200,144.190182374483,8.80770929647965,101.878048646669,200,198.229261080912,2514.18229185886,0
1e-06,4,6,200,144.679386494796,11.0958734836846,102.688521688332,200,197.95192143745,2519.24053269618,0
1e-06,4,7,200,145.013795322641,13.0424162012283,103.30469302668,200,198.364031273571,2520.56180485733,0
1e-06,4,8,200,145.222838100704,14.4678284092766,103.717595072853,200,198.460902609483,2520.91695808078,0
1e-06,4,9,200,145.319329086986,15.4797987350878,103.935015794363,200,198.480564225333,2521.01766953622,0
1e-06,4,10,196.129335419114,139.865996501779,16.1819726844482,101.2767835983,193.51495225854,198.652750861824,2521.05107603242,0
1e-06,5,1,200,136.870722165047,0,95.7516964175507,200,200,2434.69168145395,0
1e-06,5,2,200,139.846684515559,0,96.8259083345311,200,200,2445.95573411617,0
1e-06,5,3,200,141.735981289401,0,98.137009135299,200,200,2483.0365709153,0
1e-06,5,4,200,142.878083993777,2.71690258576534,99.4987043044284,200,199.357972932346,2509.87089599774,0
1e-06,5,5,200,143.657008389683,6.0234965775599,100.757213380251,200,198.686057211855,2518.33889103146,0
1e-06,5,6,200,144.247281493953,8.80810398106442,101.8250333977,200,198.229078390685,2520.39254980041,0
1e-06,5,7,200,144.696563562713,11.096191732654,102.672828898957,200,197.951791016468,2520.88903759496,0
1e-06,5,8,200,145.019802287176,13.0426673372526,103.300130481207,200,198.363948656275,2521.01543724442,0
1e-06,5,9,200,135.370803236227,14.4680310594175,103.716396803451,188.273938654718,198.460842637955,2521.05436502912,0
1e-06,5,10,194.189277294381,137.9599083389,15.4799575562282,99.8855660264187,191.239014605264,198.480503518328,2521.05768102121,0
1e-06,6,1,200,136.407672902477,0,93.0630198633767,200,200,2496.32007383287,0
1e-06,6,2,200,139.239494969896,0,94.5045943860134,200,200,2495.47978457323,0
1e-06,6,3,200,140.972432155634,0,96.1859499889273,200,200,2510.35782797273,0
1e-06,6,4,200,142.102383230409,0,97.874697044632,200,200,2516.46571756014,0
1e-06,6,5,200,142.972340816428,2.71744410398619,99.4137193696541,200,199.357801327495,2519.94089458311,0
1e-06,6,6,200,143.682067177542,6.02391216750668,100.733773192519,200,198.685918335276,2520.80297230184,0
1e-06,6,7,200,124.859763154494,8.80841537642941,101.818826050749,176.951172563859,198.228960203173,2521.04537404316,0
1e-06,6,8,200,128.844356010152,11.0964355909587,102.671342050139,181.148177526642,197.951727307105,2521.05648350511,0
1e-06,6,9,200,131.413545016862,13.0428635801589,103.300031949901,183.809018414524,198.363897506708,2521.05888995699,0
1e-06,6,10,200,135.377820239734,14.4681900447889,103.716731192623,188.281493049049,198.460784731691,2521.05829858834,0
1e-06,7,1,200,135.69161862318,0,90.1840544234911,200,200,2587.13164335126,0
1e-06,7,2,200,138.350340243337,0,92.0017150959822,200,200,2564.69867746305,0
1e-06,7,3,200,139.97933086535,0,94.0346611277963,200,200,2547.8519905612,0
1e-06,7,4,200,141.163620934467,0,96.0261325131199,200,200,2529.43103147986,0
1e-06,7,5,200,142.147572252715,0,97.8317369688823,200,200,2521.02546319213,0
