beta_E, beta_K, delta_E, delta_K, c_E, c_K, est_pE1, est_pE2, est_pE3, est_pK1, est_pK2, est_pK3, sum_rss, convergence
2.7e-06, 2.7e-06, 4, 4.35, 3.6, 3, 200, 85.456604886611, 55.5836570462947, 132.007760213772, 110.005758355358, 200, 2341.50750710364, 0
2.7e-06, 2.7e-06, 4, 4.35, 3.6, 3.6, 200, 72.5083607198748, 50.7213818394471, 140.807783125633, 101.70476232182, 200, 2365.45377204875, 0
2.7e-06, 2.7e-06, 4, 6.1, 2.4, 2.4, 200, 0.464924466723413, 40.3483284993931, 155.745781691597, 10.2932242268359, 200, 2511.22816847927, 0
2.7e-06, 2.7e-06, 4, 6.1, 2.4, 2.8, 200, 47.347356749187, 37.3110699033664, 161.517352007036, 86.5466460743722, 200, 2403.96781706717, 0
2.7e-06, 2.7e-06, 4, 6.1, 2.4, 3, 200, 45.9375938837902, 35.844664465811, 164.307468675833, 86.938950743152, 200, 2408.53210491807, 0
2.7e-06, 2.7e-06, 4, 6.1, 2.4, 3.6, 200, 43.1416596641665, 31.6494338788147, 172.606993919941, 90.0332352776191, 200, 2417.13952534155, 0
2.7e-06, 2.7e-06, 4, 6.1, 2.8, 2.4, 200, 59.8581839012062, 43.748412579606, 150.289117760393, 93.7252577223067, 200, 2373.11690978162, 0
2.7e-06, 2.7e-06, 4, 6.1, 2.8, 2.8, 200, 54.8787867700566, 40.6204725380547, 156.30080559129, 92.0219213227895, 200, 2391.52127394171, 0
2.7e-06, 2.7e-06, 4, 6.1, 2.8, 3, 200, 52.8473249220864, 39.109021946361, 159.129202014241, 91.66633624175, 200, 2398.56619705123, 0
2.7e-06, 2.7e-06, 4, 6.1, 2.8, 3.6, 200, 48.6104480873233, 34.7799263380198, 167.375063387509, 92.9205568679243, 200, 2411.84878863805, 0
2.7e-06, 2.7e-06, 4, 6.1, 3, 2.4, 200, 64.6461714008827, 45.4534201578062, 147.508090128031, 97.4752895984282, 200, 2364.11603549335, 0
2.7e-06, 2.7e-06, 4, 6.1, 3, 2.8, 200, 58.9996967199067, 42.2802517227204, 153.684497387624, 95.1014983938316, 200, 2383.83833880999, 0
2.7e-06, 2.7e-06, 4, 6.1, 3, 3, 200, 56.7162150929429, 40.7463357592619, 156.55071149325, 94.4901149080955, 200, 2392.06143816772, 0
2.7e-06, 2.7e-06, 4, 6.1, 3, 3.6, 200, 51.6411443641944, 36.350477544751, 164.802274493057, 94.7261956261228, 200, 2408.42174084468, 0
2.7e-06, 2.7e-06, 4, 6.1, 3.6, 2.4, 200, 83.1679976137517, 50.5880327847117, 138.98103256273, 113.233202585341, 200, 2340.45921489001, 0
2.7e-06, 2.7e-06, 4, 6.1, 3.6, 2.8, 200, 72.9504332927362, 47.2795997264389, 145.751383728665, 105.761582145722, 200, 2359.21412204494, 0
